category,nbr_rooms,area,Negotiable,price,Locality ,pincode,Type,address
"Maison 4 pièces 93 m²
Lille 59000 (Lille-Sud)",4,93,No,192000,Lille-Sud,59000,Maison,Lille 59000 (Lille-Sud)
"Maison 4 pièces 117 m²
Lille 59800 (Saint-Maurice - Pellevoisin)",4,117,No,325500,Saint-Maurice - Pellevoisin,59800,Maison,Lille 59800 (Saint-Maurice - Pellevoisin)
"VILL'ARBOREA (appartements neufs 1 à 5 pièces)
Lille 59160 (Bourg - Délivrance)",4,65,Yes,277500,Bourg - Délivrance,59160,Appartement,Lille 59160 (Bourg - Délivrance)
"EDENIUM (appartements neufs 2 à 5 pièces)
Lille 59000 (Lille-Sud)",4,61,Yes,214025.5,Lille-Sud,59000,Appartement,Lille 59000 (Lille-Sud)
"PARENTHESE VERTE (appartements neufs 1 à 4 pièces)
Lille 59000 (Lille-Sud)",4,83,Yes,257000,Lille-Sud,59000,Appartement,Lille 59000 (Lille-Sud)
"LES VILLAS DE LA VISSERIE (3 à 5 pièces)
Lille 59000 (Centre-ville - Euralille)",5,183,Yes,535000,Centre-ville - Euralille,59000,VILLA,Lille 59000 (Centre-ville - Euralille)
"PAVILLON DU JARDIN DES PLANTES (appartements neufs 3 pièces)
Lille 59000 (Moulins)",3,72,Yes,240000,Moulins,59000,Appartement,Lille 59000 (Moulins)
"L'INTERLUDE (appartements neufs 1 à 3 pièces)
Lille 59000 (Fives)",2,45,Yes,161000,Fives,59000,Appartement,Lille 59000 (Fives)
"LES JARDINS BO'TANIC (appartements neufs 2 à 3 pièces)
Lomme 59160 (Sud Marais)",3,54,Yes,223000,Sud Marais,59160,Appartement,Lomme 59160 (Sud Marais)
"Appartement 5 pièces 106 m²
Lille 59000 (Centre-ville - Euralille)",5,106,No,339000,Centre-ville - Euralille,59000,Appartement,Lille 59000 (Centre-ville - Euralille)
"Appartement 4 pièces 77 m²
Lille 59800 (Vauban - Esquermes)",4,77,No,299000,Vauban - Esquermes,59800,Appartement,Lille 59800 (Vauban - Esquermes)
"Appartement 4 pièces 77 m²
Lille 59800 (Vauban - Esquermes)",4,77,No,299000,Vauban - Esquermes,59800,Appartement,Lille 59800 (Vauban - Esquermes)
"Appartement 3 pièces 72 m²
Lomme 59160 (Sud Marais)",3,72,No,180000,Sud Marais,59160,Appartement,Lomme 59160 (Sud Marais)
"Maison 5 pièces 105 m²
Lille 59800 (Fives)",5,105,No,240000,Fives,59800,Maison,Lille 59800 (Fives)
"Appartement 2 pièces 52 m²
Lille 59800 (Saint-Maurice - Pellevoisin)",2,52,No,199000,Saint-Maurice - Pellevoisin,59800,Appartement,Lille 59800 (Saint-Maurice - Pellevoisin)
"Appartement 4 pièces 76 m²
Lille 59800 (Centre-ville - Euralille)",4,76,No,365000,Centre-ville - Euralille,59800,Appartement,Lille 59800 (Centre-ville - Euralille)
"Appartement 4 pièces 90 m²
Lille 59160 (Sud Marais)",4,90,No,285150,Sud Marais,59160,Appartement,Lille 59160 (Sud Marais)
"Appartement 3 pièces 56 m²
Lille 59000 (Wazemmes)",3,56,No,224000,Wazemmes,59000,Appartement,Lille 59000 (Wazemmes)
"Appartement 4 pièces 90 m²
Lille 59000 (Centre-ville - Euralille)",4,90,No,269475,Centre-ville - Euralille,59000,Appartement,Lille 59000 (Centre-ville - Euralille)
"Appartement 3 pièces 66 m²
Lille 59000 (Moulins)",3,66,No,185000,Moulins,59000,Appartement,Lille 59000 (Moulins)
"Maison 9 pièces 160 m²
Lille 59000 (Saint-Maurice - Pellevoisin)",9,160,No,564500,Saint-Maurice - Pellevoisin,59000,Maison,Lille 59000 (Saint-Maurice - Pellevoisin)
"Appartement 3 pièces 62 m²
Lille 59800 (Vieux Lille)",3,62,No,124740,Vieux Lille,59800,Appartement,Lille 59800 (Vieux Lille)
"Maison 4 pièces 101 m²
Lomme 59160 (Bourg - Délivrance)",4,101,No,207750,Bourg - Délivrance,59160,Maison,Lomme 59160 (Bourg - Délivrance)
"Appartement 3 pièces 60 m²
Lille 59000 (Wazemmes)",3,60,No,187620,Wazemmes,59000,Appartement,Lille 59000 (Wazemmes)
"Appartement 4 pièces 89 m²
Lille 59800 (Fives)",4,89,No,229500,Fives,59800,Appartement,Lille 59800 (Fives)
"Studio 29 m²
Lille 59000 (Fives)",1,29,No,177500,Fives,59000,Studio,Lille 59000 (Fives)
"Appartement 4 pièces 80 m²
Lille 59800 (Saint-Maurice - Pellevoisin)",4,80,No,259500,Saint-Maurice - Pellevoisin,59800,Appartement,Lille 59800 (Saint-Maurice - Pellevoisin)
"Maison 4 pièces 93 m²
Lille 59000 (Vauban - Esquermes)",4,93,No,241850,Vauban - Esquermes,59000,Maison,Lille 59000 (Vauban - Esquermes)
"Appartement 7 pièces 204 m²
Lille 59000 (Vauban - Esquermes)",7,204,No,591928,Vauban - Esquermes,59000,Appartement,Lille 59000 (Vauban - Esquermes)
"Maison 4 pièces 90 m²
Hellemmes-Lille 59260 (Fives)",4,90,No,116150,Fives,59260,Maison,Hellemmes-Lille 59260 (Fives)
"Maison 4 pièces 85 m²
Lille 59000 (Vauban - Esquermes)",4,85,No,240200,Vauban - Esquermes,59000,Maison,Lille 59000 (Vauban - Esquermes)
"Appartement 3 pièces 61 m²
Lille 59000 (Vauban - Esquermes)",3,61,No,240235,Vauban - Esquermes,59000,Appartement,Lille 59000 (Vauban - Esquermes)
"Appartement 1 pièce 25 m²
Lille 59800 (Centre-ville - Euralille)",1,25,No,171000,Centre-ville - Euralille,59800,Appartement,Lille 59800 (Centre-ville - Euralille)
"Appartement 3 pièces 98 m²
Lille 59800 (Centre-ville - Euralille)",3,98,No,440000,Centre-ville - Euralille,59800,Appartement,Lille 59800 (Centre-ville - Euralille)
"Appartement 3 pièces 63 m²
Lille 59000 (Saint-Maurice - Pellevoisin)",3,63,No,230000,Saint-Maurice - Pellevoisin,59000,Appartement,Lille 59000 (Saint-Maurice - Pellevoisin)
"Appartement 4 pièces 80 m²
Lille 59800 (Saint-Maurice - Pellevoisin)",4,80,No,259500,Saint-Maurice - Pellevoisin,59800,Appartement,Lille 59800 (Saint-Maurice - Pellevoisin)
"Appartement 3 pièces 83 m²
Lille 59800 (Centre-ville - Euralille)",3,83,No,325000,Centre-ville - Euralille,59800,Appartement,Lille 59800 (Centre-ville - Euralille)
"Appartement 3 pièces 68 m²
Lille 59000 (Faubourg de Béthune)",3,68,No,189500,Faubourg de Béthune,59000,Appartement,Lille 59000 (Faubourg de Béthune)
"Appartement 3 pièces 76 m²
Lille 59000 (Hellemmes Centre-ville - Pavé du Moulin)",3,76,No,215000,Hellemmes ,59000,Appartement,Lille 59000 (Hellemmes Centre-ville - Pavé du Moulin)
"Appartement 1 pièce 20 m²
Lille 59000 (Wazemmes)",1,20,No,99500,Wazemmes,59000,Appartement,Lille 59000 (Wazemmes)
"Appartement 2 pièces 44 m²
Lille 59000 (Moulins)",2,44,No,183570,Moulins,59000,Appartement,Lille 59000 (Moulins)
"Appartement 2 pièces 52 m²
Lille 59000 (Vieux Lille)",2,52,No,236063,Vieux Lille,59000,Appartement,Lille 59000 (Vieux Lille)
"Maison 5 pièces 100 m²
Lille 59000 (Lille-Sud)",5,100,No,295000,Lille-Sud,59000,Maison,Lille 59000 (Lille-Sud)
"Appartement 2 pièces 30 m²
Lille 59800 (Vieux Lille)",2,30,No,185000,Vieux Lille,59800,Appartement,Lille 59800 (Vieux Lille)
"Maison 7 pièces 200 m²
Lille 59000 (Lille-Sud)",7,200,No,584000,Lille-Sud,59000,Maison,Lille 59000 (Lille-Sud)
"Maison 9 pièces 237 m²
Lille 59000 (Bois Blanc)",9,237,No,661350,Bois Blanc,59000,Maison,Lille 59000 (Bois Blanc)
"Maison 6 pièces 227 m²
Lille 59000 (Bourg - Délivrance)",6,227,No,589000,Bourg - Délivrance,59000,Maison,Lille 59000 (Bourg - Délivrance)
"Appartement 2 pièces 47 m²
Lille 59000 (Saint-Maurice - Pellevoisin)",2,47,No,194069,Saint-Maurice - Pellevoisin,59000,Appartement,Lille 59000 (Saint-Maurice - Pellevoisin)
"Appartement 3 pièces 84 m²
Lille 59000 (Saint-Maurice - Pellevoisin)",3,84,No,265000,Saint-Maurice - Pellevoisin,59000,Appartement,Lille 59000 (Saint-Maurice - Pellevoisin)
"Appartement 2 pièces 45 m²
Lille 59000 (Fives)",2,45,No,113800,Fives,59000,Appartement,Lille 59000 (Fives)
"Appartement 4 pièces 119 m²
Lille 59800 (Saint-Maurice - Pellevoisin)",4,119,No,399990,Saint-Maurice - Pellevoisin,59800,Appartement,Lille 59800 (Saint-Maurice - Pellevoisin)
"Appartement 4 pièces 100 m²
Lille 59800 (Centre-ville - Euralille)",4,100,No,443500,Centre-ville - Euralille,59800,Appartement,Lille 59800 (Centre-ville - Euralille)
"Maison 3 pièces 42 m²
Lille 59000 (Moulins)",3,42,No,118500,Moulins,59000,Maison,Lille 59000 (Moulins)
"Appartement 3 pièces 95 m²
Lille 59000 (Saint-Maurice - Pellevoisin)",3,95,No,340000,Saint-Maurice - Pellevoisin,59000,Appartement,Lille 59000 (Saint-Maurice - Pellevoisin)
"Appartement 2 pièces 35 m²
Lille 59000 (Wazemmes)",2,35,No,125465,Wazemmes,59000,Appartement,Lille 59000 (Wazemmes)
"Appartement 1 pièce 21 m²
Lille 59000 (Moulins)",1,21,No,76200,Moulins,59000,Appartement,Lille 59000 (Moulins)
"Appartement 2 pièces 56 m²
Lille 59000 (Moulins)",2,56,No,195000,Moulins,59000,Appartement,Lille 59000 (Moulins)
"Appartement 3 pièces 90 m²
Lille 59000 (Centre-ville - Euralille)",3,90,No,450000,Centre-ville - Euralille,59000,Appartement,Lille 59000 (Centre-ville - Euralille)
"Appartement 2 pièces 43 m²
Lille 59000 (Saint-Maurice - Pellevoisin)",2,43,No,150000,Saint-Maurice - Pellevoisin,59000,Appartement,Lille 59000 (Saint-Maurice - Pellevoisin)
"Maison 5 pièces 147 m²
Lille 59000 (Wazemmes)",5,147,No,599000,Wazemmes,59000,Maison,Lille 59000 (Wazemmes)
"Appartement 3 pièces 62 m²
Lille 59000 (Mont à Camp - Marais)",3,62,No,262310,Mont à Camp - Marais,59000,Appartement,Lille 59000 (Mont à Camp - Marais)
"Maison 4 pièces 180 m²
Lille 59000 (Fives)",4,180,No,680000,Fives,59000,Maison,Lille 59000 (Fives)
"Appartement 4 pièces 85 m²
Lille 59000 (Saint-Maurice - Pellevoisin)",4,85,No,261000,Saint-Maurice - Pellevoisin,59000,Appartement,Lille 59000 (Saint-Maurice - Pellevoisin)
"Maison 7 pièces 260 m²
Lomme 59160 (Mitterie)",7,260,No,797000,Mitterie,59160,Maison,Lomme 59160 (Mitterie)
"Appartement 1 pièce 82 m²
Lille 59000 (Fives)",1,82,No,162000,Fives,59000,Appartement,Lille 59000 (Fives)
"Appartement 1 pièce 150 m²
Lille 59000 (Fives)",1,150,No,205000,Fives,59000,Appartement,Lille 59000 (Fives)
"Appartement 3 pièces 73 m²
Lille 59800 (Centre-ville - Euralille)",3,73,No,220000,Centre-ville - Euralille,59800,Appartement,Lille 59800 (Centre-ville - Euralille)
"Appartement 3 pièces 82 m²
Lille 59000 (Vauban - Esquermes)",3,82,No,299000,Vauban - Esquermes,59000,Appartement,Lille 59000 (Vauban - Esquermes)
"Maison 8 pièces 200 m²
Lille 59000 (Wazemmes)",8,200,No,567300,Wazemmes,59000,Maison,Lille 59000 (Wazemmes)
"Appartement 3 pièces 65 m²
Lille 59000 (Saint-Maurice - Pellevoisin)",3,65,No,238500,Saint-Maurice - Pellevoisin,59000,Appartement,Lille 59000 (Saint-Maurice - Pellevoisin)
"Appartement 2 pièces 39 m²
Lille 59000 (Moulins)",2,39,No,113900,Moulins,59000,Appartement,Lille 59000 (Moulins)
"Appartement 1 pièce 19 m²
Lille 59000 (Faubourg de Béthune)",1,19,No,52000,Faubourg de Béthune,59000,Appartement,Lille 59000 (Faubourg de Béthune)
"Appartement 2 pièces 49 m²
Lille 59000 (Centre-ville - Euralille)",2,49,No,189000,Centre-ville - Euralille,59000,Appartement,Lille 59000 (Centre-ville - Euralille)
"Appartement 4 pièces 136 m²
Lille 59000 (Centre-ville - Euralille)",4,136,No,483000,Centre-ville - Euralille,59000,Appartement,Lille 59000 (Centre-ville - Euralille)
"Maison 4 pièces 93 m²
Lille 59000 (Lille-Sud)",4,93,No,192000,Lille-Sud,59000,Maison,Lille 59000 (Lille-Sud)
"Appartement 2 pièces 43 m²
Lomme 59160 (Mont à Camp - Marais)",2,43,No,162481,Mont à Camp - Marais,59160,Appartement,Lomme 59160 (Mont à Camp - Marais)
"Duplex 5 pièces 105 m²
Lille 59000 (Vauban - Esquermes)",5,105,No,380000,Vauban - Esquermes,59000,VILLA,Lille 59000 (Vauban - Esquermes)
"Appartement 2 pièces 40 m²
Lomme 59160 (Mitterie)",2,40,No,107000,Mitterie,59160,Appartement,Lomme 59160 (Mitterie)
"Appartement 4 pièces 77 m²
Lille 59800 (Vauban - Esquermes)",4,77,No,299000,Vauban - Esquermes,59800,Appartement,Lille 59800 (Vauban - Esquermes)
"Appartement 3 pièces 64 m²
Lille 59000 (Saint-Maurice - Pellevoisin)",3,64,No,190000,Saint-Maurice - Pellevoisin,59000,Appartement,Lille 59000 (Saint-Maurice - Pellevoisin)
"Maison 1 pièce 113 m²
Lille 59000 (Fives)",1,113,No,180000,Fives,59000,Maison,Lille 59000 (Fives)
"Duplex 4 pièces 101 m²
Lille 59000 (Vieux Lille)",4,101,No,483000,Vieux Lille,59000,VILLA,Lille 59000 (Vieux Lille)
"Appartement 4 pièces 83 m²
Lille 59000 (Moulins)",4,83,No,185500,Moulins,59000,Appartement,Lille 59000 (Moulins)
"Studio 17 m²
Lille 59000 (Wazemmes)",1,17,No,97000,Wazemmes,59000,Studio,Lille 59000 (Wazemmes)
"Appartement 3 pièces 66 m²
Lille 59000 (Lille-Sud)",3,66,No,233500,Lille-Sud,59000,Appartement,Lille 59000 (Lille-Sud)
"Appartement 4 pièces 99 m²
Lille 59000 (Saint-Maurice - Pellevoisin)",4,99,No,275000,Saint-Maurice - Pellevoisin,59000,Appartement,Lille 59000 (Saint-Maurice - Pellevoisin)
"Maison 4 pièces 117 m²
Lille 59800 (Saint-Maurice - Pellevoisin)",4,117,No,325500,Saint-Maurice - Pellevoisin,59800,Maison,Lille 59800 (Saint-Maurice - Pellevoisin)
"Appartement 3 pièces 68 m²
Lille 59000 (Centre-ville - Euralille)",3,68,No,364000,Centre-ville - Euralille,59000,Appartement,Lille 59000 (Centre-ville - Euralille)
"Appartement 4 pièces 90 m²
Lille 59000 (Lille-Sud)",4,90,No,347000,Lille-Sud,59000,Appartement,Lille 59000 (Lille-Sud)
"Appartement 2 pièces 48 m²
Lille 59000 (Wazemmes)",2,48,No,188000,Wazemmes,59000,Appartement,Lille 59000 (Wazemmes)
"Appartement 2 pièces 46 m²
Lille 59000 (Saint-Maurice - Pellevoisin)",2,46,No,180000,Saint-Maurice - Pellevoisin,59000,Appartement,Lille 59000 (Saint-Maurice - Pellevoisin)
"Studio 35 m²
Lille 59000 (Vauban - Esquermes)",1,35,No,119350,Vauban - Esquermes,59000,Studio,Lille 59000 (Vauban - Esquermes)
"Appartement 3 pièces 65 m²
Lille 59000 (Bois Blanc)",3,65,No,274500,Bois Blanc,59000,Appartement,Lille 59000 (Bois Blanc)
"Appartement 2 pièces 45 m²
Lille 59000 (Moulins)",2,45,No,176000,Moulins,59000,Appartement,Lille 59000 (Moulins)
"Studio 14 m²
Lille 59000 (Fives)",1,14,No,52500,Fives,59000,Studio,Lille 59000 (Fives)
"Appartement 2 pièces 43 m²
Lille 59000 (Lille-Sud)",2,43,No,155250,Lille-Sud,59000,Appartement,Lille 59000 (Lille-Sud)
"Appartement 3 pièces 63 m²
Lille 59800 (Fives)",3,63,No,189000,Fives,59800,Appartement,Lille 59800 (Fives)
"Appartement 1 pièce 17 m²
Lille 59000 (Vauban - Esquermes)",1,17,No,91000,Vauban - Esquermes,59000,Appartement,Lille 59000 (Vauban - Esquermes)
"Appartement 2 pièces 50 m²
Lille 59000 (Wazemmes)",2,50,No,200000,Wazemmes,59000,Appartement,Lille 59000 (Wazemmes)
"Appartement 3 pièces 83 m²
Lille 59000 (Mont à Camp - Marais)",3,83,No,199500,Mont à Camp - Marais,59000,Appartement,Lille 59000 (Mont à Camp - Marais)
"Maison 9 pièces 190 m²
Lille 59000 (Vauban - Esquermes)",9,190,No,672000,Vauban - Esquermes,59000,Maison,Lille 59000 (Vauban - Esquermes)
"Appartement 4 pièces 90 m²
Lille 59000 (Vieux Lille)",4,90,No,286500,Vieux Lille,59000,Appartement,Lille 59000 (Vieux Lille)
"Appartement 2 pièces 42 m²
Lille 59000 (Centre-ville - Euralille)",2,42,No,177000,Centre-ville - Euralille,59000,Appartement,Lille 59000 (Centre-ville - Euralille)
"Maison 4 pièces 81 m²
Lille 59000 (Vauban - Esquermes)",4,81,No,255000,Vauban - Esquermes,59000,Maison,Lille 59000 (Vauban - Esquermes)
"Maison 3 pièces 75 m²
Lille 59000 (Wazemmes)",3,75,No,199500,Wazemmes,59000,Maison,Lille 59000 (Wazemmes)
"Appartement 3 pièces 96 m²
Lille 59000 (Fives)",3,96,No,243000,Fives,59000,Appartement,Lille 59000 (Fives)
"Appartement 3 pièces 65 m²
Lille 59000 (Faubourg de Béthune)",3,65,No,222450,Faubourg de Béthune,59000,Appartement,Lille 59000 (Faubourg de Béthune)
"Appartement 2 pièces 43 m²
Lille 59000 (Centre-ville - Euralille)",2,43,No,199500,Centre-ville - Euralille,59000,Appartement,Lille 59000 (Centre-ville - Euralille)
"Studio 20 m²
Lille 59000 (Faubourg de Béthune)",1,20,No,65000,Faubourg de Béthune,59000,Studio,Lille 59000 (Faubourg de Béthune)
"Appartement 3 pièces 75 m²
Lille 59800 (Fives)",3,75,No,232900,Fives,59800,Appartement,Lille 59800 (Fives)
"Studio
Lille 59800 (Vauban - Esquermes)",1,20,No,140000,Vauban - Esquermes,59800,Studio ,Lille 59800 (Vauban - Esquermes)
"Appartement 2 pièces 49 m²
Lille 59000 (Hellemmes Centre-ville - Pavé du Moulin)",2,49,No,360000,Hellemmes ,59000,Appartement,Lille 59000 (Hellemmes Centre-ville - Pavé du Moulin)
"Appartement 1 pièce 20 m²
Lille 59000 (Hellemmes Guinguette)",1,20,No,109900,Hellemmes ,59000,Appartement,Lille 59000 (Hellemmes Guinguette)
"Appartement 3 pièces 71 m²
Lille 59000 (Lille-Sud)",3,71,No,239500,Lille-Sud,59000,Appartement,Lille 59000 (Lille-Sud)
"Maison 4 pièces 117 m²
Lille 59000 (Wazemmes)",4,117,No,316500,Wazemmes,59000,Maison,Lille 59000 (Wazemmes)
"Appartement 4 pièces 90 m²
Lille 59000 (Saint-Maurice - Pellevoisin)",4,90,No,249000,Saint-Maurice - Pellevoisin,59000,Appartement,Lille 59000 (Saint-Maurice - Pellevoisin)
"Appartement 4 pièces 110 m²
Lille 59800 (Centre-ville - Euralille)",4,110,No,394875,Centre-ville - Euralille,59800,Appartement,Lille 59800 (Centre-ville - Euralille)
"Appartement 3 pièces 73 m²
Lille 59160 (Sud Marais)",3,73,No,174900,Sud Marais,59160,Appartement,Lille 59160 (Sud Marais)
"Maison 5 pièces 136 m²
Lille 59000 (Centre-ville - Euralille)",5,136,No,645000,Centre-ville - Euralille,59000,Maison,Lille 59000 (Centre-ville - Euralille)
"Appartement 5 pièces 110 m²
Lille 59000 (Lille-Sud)",5,110,No,298000,Lille-Sud,59000,Appartement,Lille 59000 (Lille-Sud)
"Appartement 4 pièces 92 m²
Lille 59000 (Saint-Maurice - Pellevoisin)",4,92,No,236250,Saint-Maurice - Pellevoisin,59000,Appartement,Lille 59000 (Saint-Maurice - Pellevoisin)
"Appartement 3 pièces 70 m²
Lille 59800 (Saint-Maurice - Pellevoisin)",3,70,No,252000,Saint-Maurice - Pellevoisin,59800,Appartement,Lille 59800 (Saint-Maurice - Pellevoisin)
"Duplex 4 pièces 77 m²
Lille 59000 (Lille-Sud)",4,77,No,238000,Lille-Sud,59000,VILLA,Lille 59000 (Lille-Sud)
"Duplex 4 pièces 92 m²
Lille 59000 (Lille-Sud)",4,92,No,266000,Lille-Sud,59000,VILLA,Lille 59000 (Lille-Sud)
"Appartement 4 pièces 87 m²
Lille 59000 (Lille-Sud)",4,87,No,311000,Lille-Sud,59000,Appartement,Lille 59000 (Lille-Sud)
"Appartement 2 pièces 41 m²
Lille 59000 (Centre-ville - Euralille)",2,41,No,165500,Centre-ville - Euralille,59000,Appartement,Lille 59000 (Centre-ville - Euralille)
"Appartement 2 pièces 50 m²
Lille 59000 (Wazemmes)",2,50,No,220500,Wazemmes,59000,Appartement,Lille 59000 (Wazemmes)
"Appartement 3 pièces 113 m²
Lille 59800 (Vieux Lille)",3,113,No,638495,Vieux Lille,59800,Appartement,Lille 59800 (Vieux Lille)
"Maison 5 pièces 150 m²
Lomme 59160 (Mitterie)",5,150,No,259900,Mitterie,59160,Maison,Lomme 59160 (Mitterie)
"Appartement 2 pièces 59 m²
Lille 59000 (Wazemmes)",2,59,No,259000,Wazemmes,59000,Appartement,Lille 59000 (Wazemmes)
"Appartement 3 pièces 71 m²
Lille 59000 (Centre-ville - Euralille)",3,71,No,232000,Centre-ville - Euralille,59000,Appartement,Lille 59000 (Centre-ville - Euralille)
"Appartement 3 pièces 81 m²
Lille 59000 (Mont à Camp - Marais)",3,81,No,259000,Mont à Camp - Marais,59000,Appartement,Lille 59000 (Mont à Camp - Marais)
"Appartement 1 pièce 12 m²
Lille 59000 (Wazemmes)",1,12,No,99600,Wazemmes,59000,Appartement,Lille 59000 (Wazemmes)
"Maison 4 pièces 120 m²
Lomme 59160 (Sud Marais)",4,120,No,222450,Sud Marais,59160,Maison,Lomme 59160 (Sud Marais)
"Appartement 4 pièces 100 m²
Lille 59800 (Centre-ville - Euralille)",4,100,No,443500,Centre-ville - Euralille,59800,Appartement,Lille 59800 (Centre-ville - Euralille)
"Appartement 3 pièces 62 m²
Lille 59260 (Hellemmes Centre-ville - Pavé du Moulin)",3,62,No,145800,Hellemmes ,59260,Appartement,Lille 59260 (Hellemmes Centre-ville - Pavé du Moulin)
"Appartement 1 pièce 32 m²
Lille 59800 (Centre-ville - Euralille)",1,32,No,134817,Centre-ville - Euralille,59800,Appartement,Lille 59800 (Centre-ville - Euralille)
"Maison 7 pièces 185 m²
Lomme 59160 (Bois Blanc)",7,185,No,584000,Bois Blanc,59160,Maison,Lomme 59160 (Bois Blanc)
"Appartement 1 pièce
Lille 59800 (Fives)",1,15,No,56500,Fives,59800,Appartement,Lille 59800 (Fives)
"Appartement 3 pièces 63 m²
Lille 59000 (Vauban - Esquermes)",3,63,No,180000,Vauban - Esquermes,59000,Appartement,Lille 59000 (Vauban - Esquermes)
"Appartement 2 pièces 40 m²
Lomme 59160 (Bourg - Délivrance)",2,40,No,148500,Bourg - Délivrance,59160,Appartement,Lomme 59160 (Bourg - Délivrance)
"Maison 7 pièces 185 m²
Lille 59000 (Bois Blanc)",7,185,No,584000,Bois Blanc,59000,Maison,Lille 59000 (Bois Blanc)
"Maison 5 pièces 105 m²
Lille 59000 (Fives)",5,105,No,295000,Fives,59000,Maison,Lille 59000 (Fives)
"Maison 5 pièces 105 m²
Lille 59000 (Fives)",5,105,No,295000,Fives,59000,Maison,Lille 59000 (Fives)
"Maison 3 pièces 40 m²
Lille 59000 (Bois Blanc)",3,40,No,119900,Bois Blanc,59000,Maison,Lille 59000 (Bois Blanc)
"Appartement 2 pièces 40 m²
Lomme 59160 (Mitterie)",2,40,No,107000,Mitterie,59160,Appartement,Lomme 59160 (Mitterie)
"Appartement 1 pièce 17 m²
Lille 59000 (Moulins)",1,17,No,78500,Moulins,59000,Appartement,Lille 59000 (Moulins)
"Appartement 2 pièces 35 m²
Lille 59000 (Moulins)",2,35,No,109000,Moulins,59000,Appartement,Lille 59000 (Moulins)
