category,nbr_rooms,area,Negotiable,price,Locality ,pincode,Type,address
"Appartement 1 pièce 33 m²
Lille 59000 (Centre-ville - Euralille)",1,33,No,241726,Centre-ville - Euralille,59000,Appartement,Lille 59000 (Centre-ville - Euralille)
"Appartement 4 pièces 74 m²
Lille 59000 (Centre-ville - Euralille)",4,74,No,358400,Centre-ville - Euralille,59000,Appartement,Lille 59000 (Centre-ville - Euralille)
"Appartement 3 pièces 118 m²
Lille 59000 (Centre-ville - Euralille)",3,118,No,778590,Centre-ville - Euralille,59000,Appartement,Lille 59000 (Centre-ville - Euralille)
"Appartement 12 pièces 184 m²
Lille 59000 (Centre-ville - Euralille)",12,184,No,1097000,Centre-ville - Euralille,59000,Appartement,Lille 59000 (Centre-ville - Euralille)
"Appartement 3 pièces 65 m²
Lille 59000 (Centre-ville - Euralille)",3,65,No,208000,Centre-ville - Euralille,59000,Appartement,Lille 59000 (Centre-ville - Euralille)
"Studio 29 m²
Lille 59000 (Fives)",1,29,No,177500,Fives,59000,Studio,Lille 59000 (Fives)
"Appartement 2 pièces 42 m²
Lille 59000 (Fives)",2,42,No,252400,Fives,59000,Appartement,Lille 59000 (Fives)
"Appartement 3 pièces 82 m²
Lille 59000 (Vauban - Esquermes)",3,82,No,299000,Vauban - Esquermes,59000,Appartement,Lille 59000 (Vauban - Esquermes)
"Appartement 3 pièces 95 m²
Lille 59000 (Saint-Maurice - Pellevoisin)",3,95,No,340000,Saint-Maurice - Pellevoisin,59000,Appartement,Lille 59000 (Saint-Maurice - Pellevoisin)
"Appartement 3 pièces 73 m²
Lille 59000 (Fives)",3,73,No,423600,Fives,59000,Appartement,Lille 59000 (Fives)
"Appartement 3 pièces 73 m²
Lille 59000 (Vauban - Esquermes)",3,73,No,435300,Vauban - Esquermes,59000,Appartement,Lille 59000 (Vauban - Esquermes)
"Appartement 4 pièces 85 m²
Lille 59000 (Lille-Sud)",4,85,No,335000,Lille-Sud,59000,Appartement,Lille 59000 (Lille-Sud)
"Appartement 1 pièce 29 m²
Lille 59000 (Moulins)",1,29,No,122000,Moulins,59000,Appartement,Lille 59000 (Moulins)
"Appartement 2 pièces 43 m²
Lille 59000 (Saint-Maurice - Pellevoisin)",2,43,No,152000,Saint-Maurice - Pellevoisin,59000,Appartement,Lille 59000 (Saint-Maurice - Pellevoisin)
"Appartement 4 pièces 85 m²
Lomme 59160 (Vieux Lille)",4,85,No,196000,Vieux Lille,59160,Appartement,Lomme 59160 (Vieux Lille)
"Appartement 3 pièces 65 m²
Lille 59000 (Lille-Sud)",3,65,No,200450,Lille-Sud,59000,Appartement,Lille 59000 (Lille-Sud)
"Appartement 3 pièces 72 m²
Lille 59000 (Centre-ville - Euralille)",3,72,No,289246,Centre-ville - Euralille,59000,Appartement,Lille 59000 (Centre-ville - Euralille)
"RESIDENCE QWEST HELLEMMES (appartements neufs 2 à 4 pièces)
Hellemmes-Lille 59260 (Hellemmes Centre-ville - Pavé du Moulin)",3,45,Yes,250500,Hellemmes ,59260,Appartement,Hellemmes-Lille 59260 (Hellemmes Centre-ville - Pavé du Moulin)
"Green Square (appartements neufs 2 à 5 pièces)
Lille 59000 (Lille-Sud)",3,42,Yes,192388.5,Lille-Sud,59000,Appartement,Lille 59000 (Lille-Sud)
"Appartement 4 pièces 67 m²
Lille 59000 (Lille-Sud)",4,67,No,213000,Lille-Sud,59000,Appartement,Lille 59000 (Lille-Sud)
"Appartement 3 pièces 105 m²
Lille 59000 (Vieux Lille)",3,105,No,530000,Vieux Lille,59000,Appartement,Lille 59000 (Vieux Lille)
"CONVERGENCE (appartements neufs 3 à 4 pièces)
Lille 59000 (Centre-ville - Euralille)",3,85,Yes,495500,Centre-ville - Euralille,59000,Appartement,Lille 59000 (Centre-ville - Euralille)
"LE PARVIS (appartements neufs 3 à 4 pièces)
Lille 59000 (Saint-Maurice - Pellevoisin)",3,59,Yes,377500,Saint-Maurice - Pellevoisin,59000,Appartement,Lille 59000 (Saint-Maurice - Pellevoisin)
"Grafik (appartements neufs 2 à 3 pièces)
Lomme 59160 (Bourg - Délivrance)",2,41,Yes,204000,Bourg - Délivrance,59160,Appartement,Lomme 59160 (Bourg - Délivrance)
"Appartement 1 pièce 31 m²
Lille 59000 (Centre-ville - Euralille)",1,31,No,131000,Centre-ville - Euralille,59000,Appartement,Lille 59000 (Centre-ville - Euralille)
"Appartement 2 pièces 48 m²
Lille 59000 (Moulins)",2,48,No,170000,Moulins,59000,Appartement,Lille 59000 (Moulins)
"Appartement 3 pièces 71 m²
Lille 59000 (Centre-ville - Euralille)",3,71,No,232000,Centre-ville - Euralille,59000,Appartement,Lille 59000 (Centre-ville - Euralille)
"Appartement 2 pièces 59 m²
Lille 59000 (Wazemmes)",2,59,No,259000,Wazemmes,59000,Appartement,Lille 59000 (Wazemmes)
"Montaigne (appartement neuf 4 pièces, 83 m²)
Lomme 59160 (Moulins)",4,83,No,345400,Moulins,59160,Appartement,Lomme 59160 (Moulins)
"Appartement 2 pièces 60 m²
Lille 59000 (Wazemmes)",2,60,No,217000,Wazemmes,59000,Appartement,Lille 59000 (Wazemmes)
"Appartement 1 pièce 27 m²
Lille 59800 (Saint-Maurice - Pellevoisin)",1,27,No,122000,Saint-Maurice - Pellevoisin,59800,Appartement,Lille 59800 (Saint-Maurice - Pellevoisin)
"Maison 4 pièces 81 m²
Lille 59000 (Vauban - Esquermes)",4,81,No,255000,Vauban - Esquermes,59000,Maison,Lille 59000 (Vauban - Esquermes)
"Appartement 3 pièces 67 m²
Lille 59800 (Centre-ville - Euralille)",3,67,No,264250,Centre-ville - Euralille,59800,Appartement,Lille 59800 (Centre-ville - Euralille)
"Appartement 3 pièces 73 m²
Lille 59000 (Centre-ville - Euralille)",3,73,No,435600,Centre-ville - Euralille,59000,Appartement,Lille 59000 (Centre-ville - Euralille)
"Jules Verne (appartements neufs 2 à 5 pièces)
Lille 59000 (Lille-Sud)",2,39,Yes,161447.5,Lille-Sud,59000,Appartement,Lille 59000 (Lille-Sud)
"Appartement 1 pièce 20 m²
Lille 59000 (Vauban - Esquermes)",1,20,No,94900,Vauban - Esquermes,59000,Appartement,Lille 59000 (Vauban - Esquermes)
"Maison 4 pièces 76 m²
Lille 59800 (Fives)",4,76,No,192000,Fives,59800,Maison,Lille 59800 (Fives)
"Appartement 3 pièces 68 m²
Lille 59000 (Centre-ville - Euralille)",3,68,No,220000,Centre-ville - Euralille,59000,Appartement,Lille 59000 (Centre-ville - Euralille)
"Maison 4 pièces 150 m²
Lomme 59160 (Bourg - Délivrance)",4,150,No,360000,Bourg - Délivrance,59160,Maison,Lomme 59160 (Bourg - Délivrance)
"Appartement 3 pièces 55 m²
Lille 59000 (Faubourg de Béthune)",3,55,No,117000,Faubourg de Béthune,59000,Appartement,Lille 59000 (Faubourg de Béthune)
"Appartement 3 pièces 62 m²
Lille 59000 (Fives)",3,62,No,189000,Fives,59000,Appartement,Lille 59000 (Fives)
"Maison 6 pièces 122 m²
Lomme 59160 (Bourg - Délivrance)",6,122,No,359000,Bourg - Délivrance,59160,Maison,Lomme 59160 (Bourg - Délivrance)
"Appartement 2 pièces 34 m²
Lille 59000 (Moulins)",2,34,No,127500,Moulins,59000,Appartement,Lille 59000 (Moulins)
"Appartement 3 pièces 77 m²
Lille 59000 (Fives)",3,77,No,233600,Fives,59000,Appartement,Lille 59000 (Fives)
"Appartement 2 pièces 36 m²
Lille 59777 (Centre-ville - Euralille)",2,36,No,211000,Centre-ville - Euralille,59777,Appartement,Lille 59777 (Centre-ville - Euralille)
"Appartement 1 pièce 22 m²
Lille 59000 (Vieux Lille)",1,22,No,152000,Vieux Lille,59000,Appartement,Lille 59000 (Vieux Lille)
"Appartement 3 pièces 93 m²
Lille 59000 (Vauban - Esquermes)",3,93,No,390350,Vauban - Esquermes,59000,Appartement,Lille 59000 (Vauban - Esquermes)
"Maison 7 pièces 125 m²
Hellemmes-Lille 59260 (Hellemmes - Barrière)",7,125,No,294000,Hellemmes ,59260,Maison,Hellemmes-Lille 59260 (Hellemmes - Barrière)
"Appartement 3 pièces 66 m²
Lille 59000 (Faubourg de Béthune)",3,66,No,210000,Faubourg de Béthune,59000,Appartement,Lille 59000 (Faubourg de Béthune)
"Appartement 3 pièces 74 m²
Hellemmes-Lille 59260 (Hellemmes Centre-ville - Pavé du Moulin)",3,74,No,274000,Hellemmes ,59260,Appartement,Hellemmes-Lille 59260 (Hellemmes Centre-ville - Pavé du Moulin)
"TOPAZE (appartement neuf 4 pièces, 83 m²)
Lomme 59160 (Bourg - Délivrance)",4,83,No,342900,Bourg - Délivrance,59160,Appartement,Lomme 59160 (Bourg - Délivrance)
"Appartement 4 pièces 83 m²
Lomme 59160 (Mitterie)",4,83,No,175000,Mitterie,59160,Appartement,Lomme 59160 (Mitterie)
"Maison 4 pièces 65 m²
Lille 59000 (Fives)",4,65,No,189000,Fives,59000,Maison,Lille 59000 (Fives)
"CONVERGENCE (appartements neufs 3 à 4 pièces)
Lille 59000 (Saint-Maurice - Pellevoisin)",3,96,Yes,389000,Saint-Maurice - Pellevoisin,59000,Appartement,Lille 59000 (Saint-Maurice - Pellevoisin)
"Appartement 3 pièces 72 m²
Lille 59000 (Faubourg de Béthune)",3,72,No,159000,Faubourg de Béthune,59000,Appartement,Lille 59000 (Faubourg de Béthune)
"Appartement 5 pièces 111 m²
Lille 59000 (Centre-ville - Euralille)",5,111,No,574000,Centre-ville - Euralille,59000,Appartement,Lille 59000 (Centre-ville - Euralille)
"Appartement 3 pièces 74 m²
Lille 59000 (Centre-ville - Euralille)",3,74,No,358400,Centre-ville - Euralille,59000,Appartement,Lille 59000 (Centre-ville - Euralille)
"Maison 8 pièces 200 m²
Lille 59000 (Wazemmes)",8,200,No,567300,Wazemmes,59000,Maison,Lille 59000 (Wazemmes)
"Appartement 1 pièce 32 m²
Lille 59800 (Centre-ville - Euralille)",1,32,No,134817,Centre-ville - Euralille,59800,Appartement,Lille 59800 (Centre-ville - Euralille)
"Magnolia (appartements neufs 1 à 2 pièces)
Lomme 59160 (Bourg - Délivrance)",1,54,Yes,208000,Bourg - Délivrance,59160,Appartement,Lomme 59160 (Bourg - Délivrance)
"Hélène (appartements neufs 1 à 4 pièces)
Hellemmes-Lille 59260 (Hellemmes Centre-ville - Pavé du Moulin)",3,38,Yes,204000,Hellemmes ,59260,Appartement,Hellemmes-Lille 59260 (Hellemmes Centre-ville - Pavé du Moulin)
"LES JARDINS DE LOMME (appartements neufs 1 à 4 pièces)
Lomme 59160 (Mitterie)",1,52,Yes,221500,Mitterie,59160,Appartement,Lomme 59160 (Mitterie)
"LES JARDINS DE RONSARD (appartements neufs 2 à 4 pièces)
Lomme 59160 (Bourg - Délivrance)",2,54,Yes,318500,Bourg - Délivrance,59160,Appartement,Lomme 59160 (Bourg - Délivrance)
"INTENCITY (appartements neufs 2 à 3 pièces)
Lille 59000 (Moulins)",2,32,Yes,233950,Moulins,59000,Appartement,Lille 59000 (Moulins)
"L'INSTITUT (appartements neufs 2 à 4 pièces)
Lille 59000 (Centre-ville - Euralille)",2,46,Yes,322750,Centre-ville - Euralille,59000,Appartement,Lille 59000 (Centre-ville - Euralille)
"HANGOUART (appartements neufs 3 à 5 pièces)
Lille 59000 (Vieux Lille)",3,77,Yes,555516.5,Vieux Lille,59000,Appartement,Lille 59000 (Vieux Lille)
"Appartement 1 pièce 18 m²
Lille 59000 (Hellemmes - Barrière)",1,18,No,100170,Hellemmes ,59000,Appartement,Lille 59000 (Hellemmes - Barrière)
"Appartement 2 pièces 38 m²
Lille 59000 (Hellemmes - Barrière)",2,38,No,200550,Hellemmes ,59000,Appartement,Lille 59000 (Hellemmes - Barrière)
"Appartement 2 pièces 39 m²
Lille 59000 (Moulins)",2,39,No,207375,Moulins,59000,Appartement,Lille 59000 (Moulins)
"Appartement 2 pièces 40 m²
Lille 59000 (Moulins)",2,40,No,223256,Moulins,59000,Appartement,Lille 59000 (Moulins)
"Appartement 2 pièces 45 m²
Lille 59000 (Hellemmes - Barrière)",2,45,No,231525,Hellemmes ,59000,Appartement,Lille 59000 (Hellemmes - Barrière)
"Appartement 2 pièces 46 m²
Lille 59000 (Hellemmes - Barrière)",2,46,No,239242,Hellemmes ,59000,Appartement,Lille 59000 (Hellemmes - Barrière)
"Appartement 2 pièces 48 m²
Lille 59000 (Hellemmes - Barrière)",2,48,No,243936,Hellemmes ,59000,Appartement,Lille 59000 (Hellemmes - Barrière)
"Appartement 3 pièces 58 m²
Lille 59000 (Hellemmes - Barrière)",3,58,No,276885,Hellemmes ,59000,Appartement,Lille 59000 (Hellemmes - Barrière)
"Appartement 3 pièces 63 m²
Lille 59000 (Hellemmes - Barrière)",3,63,No,286702,Hellemmes ,59000,Appartement,Lille 59000 (Hellemmes - Barrière)
"Appartement 3 pièces 69 m²
Lille 59000 (Hellemmes - Barrière)",3,69,No,312438,Hellemmes ,59000,Appartement,Lille 59000 (Hellemmes - Barrière)
"Appartement 3 pièces 71 m²
Lille 59000 (Hellemmes - Barrière)",3,71,No,321919,Hellemmes ,59000,Appartement,Lille 59000 (Hellemmes - Barrière)
"Appartement 4 pièces 61 m²
Lille 59000 (Centre-ville - Euralille)",4,61,No,325000,Centre-ville - Euralille,59000,Appartement,Lille 59000 (Centre-ville - Euralille)
"Appartement 3 pièces 63 m²
Lille 59000 (Hellemmes - Barrière)",3,63,No,330498,Hellemmes ,59000,Appartement,Lille 59000 (Hellemmes - Barrière)
"Appartement 3 pièces 69 m²
Lille 59000 (Hellemmes - Barrière)",3,69,No,349912,Hellemmes ,59000,Appartement,Lille 59000 (Hellemmes - Barrière)
"Appartement 3 pièces 80 m²
Lille 59000 (Moulins)",3,80,No,403370,Moulins,59000,Appartement,Lille 59000 (Moulins)
"Appartement 5 pièces 150 m²
Lille 59000 (Centre-ville - Euralille)",5,150,No,967000,Centre-ville - Euralille,59000,Appartement,Lille 59000 (Centre-ville - Euralille)
"Maison 5 pièces 75 m²
Hellemmes-Lille 59260 (Hellemmes Centre-ville - Pavé du Moulin)",5,75,No,173500,Hellemmes ,59260,Maison,Hellemmes-Lille 59260 (Hellemmes Centre-ville - Pavé du Moulin)
"Appartement 1 pièce 32 m²
Lille 59800 (Centre-ville - Euralille)",1,32,No,134817,Centre-ville - Euralille,59800,Appartement,Lille 59800 (Centre-ville - Euralille)
"EMBLEM (appartements neufs 1 à 5 pièces)
Lille 59000 (Centre-ville - Euralille)",5,105,No,830000,Centre-ville - Euralille,59000,Appartement,Lille 59000 (Centre-ville - Euralille)
"Maison 6 pièces 192 m²
Lille 59800 (Saint-Maurice - Pellevoisin)",6,192,No,247500,Saint-Maurice - Pellevoisin,59800,Maison,Lille 59800 (Saint-Maurice - Pellevoisin)
"Appartement 3 pièces 64 m²
Lille 59000 (Centre-ville - Euralille)",3,64,No,124000,Centre-ville - Euralille,59000,Appartement,Lille 59000 (Centre-ville - Euralille)
"Appartement
Lille 59000 (Lille-Sud)",3,82,No,391000,Lille-Sud,59000,Appartement,Lille 59000 (Lille-Sud)
"Appartement 4 pièces 97 m²
Lille 59800 (Vauban - Esquermes)",4,97,No,443500,Vauban - Esquermes,59800,Appartement,Lille 59800 (Vauban - Esquermes)
"Appartement 5 pièces 99 m²
Lille 59000 (Centre-ville - Euralille)",5,99,No,331000,Centre-ville - Euralille,59000,Appartement,Lille 59000 (Centre-ville - Euralille)
"Appartement 4 pièces 87 m²
Lille 59000 (Fives)",4,87,No,298000,Fives,59000,Appartement,Lille 59000 (Fives)
"Appartement 5 pièces 110 m²
Lille 59000 (Lille-Sud)",5,110,No,369000,Lille-Sud,59000,Appartement,Lille 59000 (Lille-Sud)
"VILLA DES ARTS (appartement neuf 3 pièces, 73 m²)
Lille 59000 (Centre-ville - Euralille)",3,73,No,650000,Centre-ville - Euralille,59000,VILLA,Lille 59000 (Centre-ville - Euralille)
"Maison 6 pièces 170 m²
Lomme 59160 (Bourg - Délivrance)",6,170,No,412000,Bourg - Délivrance,59160,Maison,Lomme 59160 (Bourg - Délivrance)
"Appartement 4 pièces 82 m²
Lille 59000 (Wazemmes)",4,82,No,248000,Wazemmes,59000,Appartement,Lille 59000 (Wazemmes)
"Le Rubix (appartement neuf 3 pièces, 64 m²)
Lille 59000 (Lille-Sud)",3,64,No,211000,Lille-Sud,59000,Appartement,Lille 59000 (Lille-Sud)
"Appartement 2 pièces 47 m²
Lille 59000 (Vieux Lille)",2,47,Yes,268000,Vieux Lille,59000,Appartement,Lille 59000 (Vieux Lille)
"So Home (appartements neufs 4 à 5 pièces)
Lille 59000 (Lille-Sud)",4,67,No,53000,Lille-Sud,59000,Appartement,Lille 59000 (Lille-Sud)
"Appartement 1 pièce 14 m²
Lille 59800 (Fives)",1,14,No,375000,Fives,59800,Appartement,Lille 59800 (Fives)
"Maison 5 pièces 125 m²
Lille 59000 (Hellemmes Guinguette)",5,125,No,199800,Hellemmes ,59000,Maison,Lille 59000 (Hellemmes Guinguette)
"Appartement 2 pièces 38 m²
Lille 59000 (Vieux Lille)",2,38,No,199800,Vieux Lille,59000,Appartement,Lille 59000 (Vieux Lille)
"Appartement 2 pièces 29 m²
Lille 59000 (Vieux Lille)",2,29,No,86000,Vieux Lille,59000,Appartement,Lille 59000 (Vieux Lille)
"Appartement 1 pièce 14 m²
Lille 59000 (Wazemmes)",1,14,No,741600,Wazemmes,59000,Appartement,Lille 59000 (Wazemmes)
"Appartement 3 pièces 65 m²
Lille 59000 (Vieux Lille)",3,65,No,253000,Vieux Lille,59000,Appartement,Lille 59000 (Vieux Lille)
"Appartement 3 pièces 73 m²
Lille 59000 (Wazemmes)",3,73,No,227500,Wazemmes,59000,Appartement,Lille 59000 (Wazemmes)
"Appartement 3 pièces 71 m²
Lille 59000 (Wazemmes)",3,71,No,1050000,Wazemmes,59000,Appartement,Lille 59000 (Wazemmes)
"Appartement 2 pièces 40 m²
Lille 59000 (Vauban - Esquermes)",2,40,No,622820,Vauban - Esquermes,59000,Appartement,Lille 59000 (Vauban - Esquermes)
"Appartement 3 pièces 108 m²
Lille 59800 (Vieux Lille)",3,108,No,185000,Vieux Lille,59800,Appartement,Lille 59800 (Vieux Lille)
"Maison 4 pièces 90 m²
Lille 59800 (Hellemmes - Barrière)",4,90,No,622820,Hellemmes ,59800,Maison,Lille 59800 (Hellemmes - Barrière)
"Appartement 3 pièces 108 m²
Lille 59800 (Vieux Lille)",3,108,No,129000,Vieux Lille,59800,Appartement,Lille 59800 (Vieux Lille)
"Appartement 2 pièces
Lille 59000 (Moulins)",2,43,No,171000,Moulins,59000,Appartement,Lille 59000 (Moulins)
"Appartement neuf 5 pièces
Lille 59800 (Fives)",5,90,Yes,372400,Fives,59800,Appartement,Lille 59800 (Fives)
"Programme Immobilier à LILLE (appartements neufs 3 à 4 pièces)
Lille 59000 (Bourg - Délivrance)",3,53,No,218000,Bourg - Délivrance,59000,Appartement,Lille 59000 (Bourg - Délivrance)
"Appartement 2 pièces
Lille 59000 (Lille-Sud)",2,75,No,459000,Lille-Sud,59000,Appartement,Lille 59000 (Lille-Sud)
"Appartement 3 pièces 79 m²
Lille 59800 (Vieux Lille)",3,79,No,121000,Vieux Lille,59800,Appartement,Lille 59800 (Vieux Lille)
"Appartement 2 pièces 42 m²
Lille 59000 (Wazemmes)",2,42,No,254000,Wazemmes,59000,Appartement,Lille 59000 (Wazemmes)
"Appartement 3 pièces 85 m²
Lille 59000 (Bourg - Délivrance)",3,85,No,349500,Bourg - Délivrance,59000,Appartement,Lille 59000 (Bourg - Délivrance)
"Appartement 1 pièce 14 m²
Lille 59000 (Wazemmes)",1,14,No,239000,Wazemmes,59000,Appartement,Lille 59000 (Wazemmes)
"Appartement 2 pièces 53 m²
Lille 59800 (Wazemmes)",2,53,No,174000,Wazemmes,59800,Appartement,Lille 59800 (Wazemmes)
"Appartement 2 pièces 37 m²
Lille 59000 (Wazemmes)",2,37,No,139000,Wazemmes,59000,Appartement,Lille 59000 (Wazemmes)
"Appartement 2 pièces 33 m²
Lille 59000 (Wazemmes)",2,33,No,177000,Wazemmes,59000,Appartement,Lille 59000 (Wazemmes)
"Appartement 2 pièces 37 m²
Lille 59000 (Wazemmes)",2,37,No,260000,Wazemmes,59000,Appartement,Lille 59000 (Wazemmes)
"Appartement 3 pièces 73 m²
Lille 59000 (Wazemmes)",3,73,No,88000,Wazemmes,59000,Appartement,Lille 59000 (Wazemmes)
"Appartement 1 pièce 15 m²
Lille 59000 (Wazemmes)",1,15,No,443500,Wazemmes,59000,Appartement,Lille 59000 (Wazemmes)
"Appartement 4 pièces 100 m²
Lille 59000 (Centre-ville - Euralille)",4,100,No,268000,Centre-ville - Euralille,59000,Appartement,Lille 59000 (Centre-ville - Euralille)
"Appartement 2 pièces 61 m²
Lille 59000 (Vieux Lille)",2,61,No,295000,Vieux Lille,59000,Appartement,Lille 59000 (Vieux Lille)
"Appartement 2 pièces 49 m²
Lille 59000 (Vauban - Esquermes)",2,49,No,127500,Vauban - Esquermes,59000,Appartement,Lille 59000 (Vauban - Esquermes)
"Appartement 2 pièces 37 m²
Lille 59800 (Moulins)",2,37,No,243000,Moulins,59800,Appartement,Lille 59800 (Moulins)
"Appartement 4 pièces 72 m²
Lille 59000 (Wazemmes)",4,72,No,270000,Wazemmes,59000,Appartement,Lille 59000 (Wazemmes)
"Appartement 3 pièces 70 m²
Lille 59000 (Centre-ville - Euralille)",3,70,No,593,Centre-ville - Euralille,59000,Appartement,Lille 59000 (Centre-ville - Euralille)
"Appartement 3 pièces 45 m²
Lille 59000 (Vauban - Esquermes)",3,45,No,2200,Vauban - Esquermes,59000,Appartement,Lille 59000 (Vauban - Esquermes)
"Appartement 4 pièces 188 m²
Lille 59000 (Vauban - Esquermes)",4,188,No,950,Vauban - Esquermes,59000,Appartement,Lille 59000 (Vauban - Esquermes)
"Appartement meublé 3 pièces 50 m²
Lille 59000 (Moulins)",3,50,No,605,Moulins,59000,Appartement,Lille 59000 (Moulins)
"Appartement meublé 2 pièces 25 m²
Lille 59260 (Hellemmes Centre-ville - Pavé du Moulin)",2,25,No,590,Hellemmes ,59260,Appartement,Lille 59260 (Hellemmes Centre-ville - Pavé du Moulin)
"Appartement meublé 1 pièce 33 m²
Lille 59000 (Moulins)",1,33,No,495,Moulins,59000,Appartement,Lille 59000 (Moulins)
"Appartement meublé 4 pièces 14 m²
Lille 59260 (Hellemmes Centre-ville - Pavé du Moulin)",4,14,No,495,Hellemmes ,59260,Appartement,Lille 59260 (Hellemmes Centre-ville - Pavé du Moulin)
"Appartement meublé 4 pièces 12 m²
Lille 59260 (Hellemmes Centre-ville - Pavé du Moulin)",4,12,No,495,Hellemmes ,59260,Appartement,Lille 59260 (Hellemmes Centre-ville - Pavé du Moulin)
"Appartement meublé 4 pièces 10 m²
Lille 59260 (Hellemmes Centre-ville - Pavé du Moulin)",4,10,No,1485,Hellemmes ,59260,Appartement,Lille 59260 (Hellemmes Centre-ville - Pavé du Moulin)
"Appartement meublé 4 pièces 70 m²
Lille 59260 (Hellemmes Centre-ville - Pavé du Moulin)",4,70,No,1945,Hellemmes ,59260,Appartement,Lille 59260 (Hellemmes Centre-ville - Pavé du Moulin)
"Appartement meublé 5 pièces 75 m²
Lille 59000 (Bois Blanc)",5,75,No,495,Bois Blanc,59000,Appartement,Lille 59000 (Bois Blanc)
"Appartement meublé 1 pièce 18 m²
Lille 59260 (Hellemmes Centre-ville - Pavé du Moulin)",1,18,No,486,Hellemmes ,59260,Appartement,Lille 59260 (Hellemmes Centre-ville - Pavé du Moulin)
"Appartement meublé 5 pièces 18 m²
Lille 59000 (Bois Blanc)",5,18,No,678,Bois Blanc,59000,Appartement,Lille 59000 (Bois Blanc)
